C.D.S.  -  SIMBAD4 rel 1.7  -  2019.11.01CET19:29:02

sptypes='B3'
------------

Number of objects : 2849

Num ;          identifier          ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
----;------------------------------;---;---------------------------------------;------;------;------;------;------;---------------;----;----
1   ;V* V379 And                   ;Ir*;23 06 32.9614375810 +46 55 25.008767634; 7.16 ; 7.77 ; 7.71 ;     ~;     ~;B3             ;  19;   0
2   ;HD 223229                     ;V* ;23 47 33.04940 +46 49 57.2178          ; 5.25 ; 5.996; 6.134;     ~;     ~;B3IV           ;  53;   1
3   ;FBS 0208+401                  ;HB*;02 11 28.4986702098 +40 20 31.317184108;     ~;     ~;     ~;     ~;     ~;B3             ;   4;   0
4   ;V* MU Cyg                     ;bL*;21 59 13.5089205916 +44 42 00.523107908;     ~;     ~;     ~;     ~;     ~;B3             ;   4;   0
5   ;HD 196489                     ;*  ;20 36 24.2595453293 +39 11 40.706078553;     ~; 8.61 ; 8.48 ;     ~;     ~;B3V            ;   5;   0
6   ;HD 204536                     ;*  ;21 27 54.3240716777 +46 33 41.436882305; 6.19 ; 6.761; 6.857;     ~;     ~;B3III          ;  23;   0
7   ;BD+47 3656                    ;Em*;22 01 01.3025184081 +48 11 02.462423095; 8.84 ; 9.14 ; 8.77 ;     ~;     ~;B3             ;  14;   0
8   ;V* MR Cyg                     ;Al*;21 58 56.5896057253 +47 58 59.998507667;     ~; 8.89 ; 8.91 ;     ~;     ~;B3V            ; 117;   0
9   ;HD 235874                     ;*  ;22 32 59.7468801046 +51 12 56.138166034; 8.94 ; 9.62 ; 9.58 ;     ~;     ~;B3III          ;  27;   0
10  ;HD 214240                     ;SB*;22 35 53.3823965955 +50 04 14.835804281; 5.7  ; 6.199; 6.275;     ~;     ~;B3V            ;  75;   0
11  ;HD 216534                     ;*  ;22 52 58.5831214228 +49 51 53.190986070;     ~; 8.46 ; 8.47 ;     ~;     ~;B3V            ;  30;   0
12  ;HD 218393                     ;Be*;23 07 06.2120465053 +50 11 32.489137162; 6.79 ; 7.25 ; 6.92 ;     ~;     ~;B3pe+K1III     ; 142;   0
13  ;HD 6300                       ;*  ;01 04 46.7987958489 +51 00 35.214021198;     ~; 6.437; 6.520;     ~;     ~;B3V            ;  56;   0
14  ;BD+40 4146B                   ;Be*;20 23 09.817 +40 45 52.29              ;     ~;11.1  ;12.71 ;12.02 ;     ~;B3Ve           ;   7;   0
15  ;HD 194779                     ;Em*;20 25 55.0771146096 +41 20 11.721847684; 7.48 ; 7.98 ; 7.80 ;     ~;     ~;B3II           ;  35;   0
16  ;HD 228834                     ;*  ;20 18 15.6497660614 +39 53 05.731965029;     ~; 8.857; 8.74 ;     ~;     ~;B3             ;  12;   0
17  ;HD 229007                     ;*  ;20 20 33.0808944345 +39 51 05.713120111;     ~;10.68 ;10.34 ;     ~;     ~;B3             ;   7;   0
18  ;LS II +39 35                  ;*  ;20 21 51.1499820752 +39 37 51.478794755;     ~;11.79 ;10.66 ;     ~;     ~;B3V            ;   7;   0
19  ;NGC 6910 16                   ;bC*;20 23 07.2999583395 +40 46 55.293457953;     ~;11.3  ;10.439;     ~;     ~;B3             ;   8;   0
20  ;NGC 6910 25                   ;*  ;20 23 16.1859602814 +40 45 18.986820935;     ~;12.21 ;11.459;     ~;     ~;B3             ;   7;   0
21  ;HD 228953                     ;Em*;20 19 55.3195121089 +39 33 24.220396624;     ~; 9.85 ; 9.55 ;     ~;     ~;B3             ;   9;   0
22  ;HBHA 4202-27                  ;Be*;20 23 11.7923616087 +40 43 25.984953485;     ~;14.31 ;13.20 ;12.99 ;     ~;B3Ve           ;   6;   0
23  ;2MASS J20314163+4128209       ;*  ;20 31 41.6296441867 +41 28 20.915803530;     ~;15.74 ;14.40 ;     ~;     ~;B3V            ;   8;   0
24  ;GSC 03161-00885               ;*  ;20 32 04.8045758974 +41 28 44.084529229;     ~;14.85 ;13.81 ;     ~;     ~;B3IV           ;   7;   0
25  ;2MASS J20313364+4136046       ;*  ;20 31 33.6407576529 +41 36 04.666103451;     ~;15.89 ;14.60 ;     ~;     ~;B3V            ;   7;   0
26  ;2MASS J20323835+4128567       ;*  ;20 32 38.3437281881 +41 28 56.718096537;     ~;15.68 ;14.43 ;     ~;     ~;B3V            ;  11;   0
27  ;2MASS J20313415+4131082       ;*  ;20 31 34.1482397557 +41 31 08.185464191;     ~;16.14 ;14.88 ;     ~;     ~;B3IV           ;   4;   0
28  ;2MASS J20315540+4135276       ;*  ;20 31 55.4024738214 +41 35 27.528948820;     ~;16.32 ;15.07 ;     ~;     ~;B3V            ;   6;   0
29  ;GSC 03161-00887               ;*  ;20 31 59.9613218415 +41 37 14.084029935;     ~;15.46 ;14.00 ;     ~;     ~;B3V            ;   8;   0
30  ;2MASS J20321504+4119303       ;*  ;20 32 15.0385481551 +41 19 30.421402464;     ~;16.29 ;14.9  ;     ~;     ~;B3V            ;   8;   0
31  ;[MT91] 336                    ;SB*;20 32 49.6803193978 +41 25 36.456892811;     ~;15.3  ;14.13 ;     ~;     ~;B3III          ;  10;   0
32  ;Schulte 37                    ;*  ;20 32 54.4028514021 +41 15 21.869780359;17.76 ;16.97 ;14.81 ;     ~;     ~;B3V            ;  12;   0
33  ;ALS 15179                     ;*  ;20 33 33.3499819957 +41 08 36.402956611;17.78 ;16.92 ;14.76 ;     ~;     ~;B3V            ;   9;   0
34  ;EM* LkHA 169                  ;Ae*;20 52 07.6530968339 +44 03 44.425763658;     ~;11.1  ;10.3  ;     ~;     ~;B3V(e)         ;  17;   0
35  ;TYC 3179-615-1                ;*  ;20 53 34.1876613452 +44 09 07.057092719;     ~;11.97 ;11.42 ;     ~;     ~;B3V            ;   3;   0
36  ;BSD 40-2337                   ;*  ;20 58 54.0 +46 13 00                   ;     ~;10.58 ;10.33 ;     ~;     ~;B3             ;   1;   0
37  ;BSD 40-1178                   ;*  ;20 59 30.0 +45 19 00                   ;     ~;11.49 ;11.07 ;     ~;     ~;B3             ;   1;   0
38  ;BD+44 3627                    ;*  ;20 54 47.4703302755 +44 50 46.490314745;10.51 ;10.55 ; 9.96 ;     ~;     ~;B3V            ;  18;   0
39  ;HR 8064                       ;** ;21 02 48.6193365921 +45 50 55.998763195;     ~; 6.348; 6.486;     ~;     ~;B3Vn           ;  55;   1
40  ;BD+45 3360                    ;*  ;21 00 34.2071958025 +46 14 49.880168238; 9.77 ;10.22 ;10.1  ;     ~;     ~;B3V            ;  16;   0
41  ;HD 201700                     ;*  ;21 09 46.4223705661 +46 23 37.515809862;     ~; 8.53 ; 8.41 ;     ~;     ~;B3IV           ;   6;   0
42  ;BD+44 3723                    ;*  ;21 10 24.4790199036 +45 24 30.451956233; 9.84 ;10.07 ; 9.98 ;     ~;     ~;B3III          ;   7;   0
43  ;Cl* NGC 7092 PLAT 3721        ;*  ;21 31 39.3056700797 +48 02 50.841467511;     ~;11.19 ;10.84 ;     ~;     ~;B3V:           ;   2;   0
44  ;Cl* NGC 7092 PLAT 6664        ;*  ;21 35 01.4183965883 +47 37 34.764133343;     ~;10.67 ;10.57 ;     ~;     ~;B3IV:          ;   1;   0
45  ;V* DL Cyg                     ;Al*;21 39 46.4702848289 +48 32 23.887021470;     ~; 9.87 ; 9.66 ;     ~;     ~;B3V            ;  28;   0
46  ;LS III +48 38                 ;*  ;21 34 56.7869411217 +48 32 49.077762391;     ~;11.53 ;11.11 ;     ~;     ~;B3V:           ;   5;   0
47  ;BD+47 3494                    ;*  ;21 36 47.1747936420 +48 27 58.856450714;     ~;10.72 ;10.61 ;     ~;     ~;B3IV:          ;   1;   0
48  ;Cl* NGC 7092 PLAT 7921        ;*  ;21 38 16.7916791686 +48 23 22.350392544;     ~;11.74 ;11.52 ;     ~;     ~;B3V:           ;   1;   0
49  ;HD 235648                     ;*  ;21 53 27.1166083400 +51 30 10.688675152;     ~; 9.17 ; 9.08 ;     ~;     ~;B3             ;  10;   0
50  ;* pi.02 Cyg                   ;SB*;21 46 47.6083178 +49 18 34.451096      ; 3.4  ; 4.11 ; 4.18 ;     ~;     ~;B3III          ; 161;   0
51  ;HD 235702                     ;*  ;22 02 49.6676138746 +50 47 50.561729236;     ~; 9.51 ; 9.40 ;     ~;     ~;B3             ;   1;   0
52  ;GSC 03983-01208               ;*  ;22 33 38.8858284240 +54 05 12.208049591;     ~;12.87 ;12.69 ;12.73 ;     ~;B3             ;   1;   0
53  ;HD 235856                     ;*  ;22 28 55.5424819951 +52 05 26.332128585;     ~;10.32 ;10.25 ;     ~;     ~;B3             ;   4;   0
54  ;BD+52 3283                    ;Em*;22 45 13.7975552473 +53 12 33.744103354;     ~; 9.92 ; 9.77 ;     ~;     ~;B3e            ;   3;   0
55  ;HD 240409                     ;*  ;23 48 31.7258722130 +55 46 05.414141373;     ~; 9.94 ; 9.83 ;     ~;     ~;B3             ;   3;   0
56  ;BD+54 3082B                   ;*  ;23 59 00.3309252053 +55 45 20.364616493;     ~; 7.21 ; 7.24 ;     ~;     ~;B3V            ;   5;   1
57  ;HD 232138                     ;*  ;00 13 46.2087145746 +54 27 52.526671096; 7.82 ; 8.61 ; 8.73 ;     ~;     ~;B3             ;  10;   0
58  ;HD 225190                     ;*  ;00 04 21.2960727324 +54 16 28.525361502; 7.13 ; 7.70 ; 7.79 ;     ~;     ~;B3V            ;  23;   0
