  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
---------------,---,-----------------------------------,,-----------------------------------,,--------------------,
* lam Cru      ,Be*,193.6632607,-59.14670079,303.3449938,3.722470502,B3Vne               ,110
* mu.02 Cru    ,Be*,193.6536822,-57.1686656,303.364641,5.700415242,B5Vne               ,112
HD 22928       ,Be*,55.73126773,47.78754851,150.2834098,-5.768438451,B5III               ,113.3273903
* p Car        ,Be*,158.0060957,-61.68533231,287.1800917,-3.153897821,B4Vne               ,115.6615651
* mu. Cen      ,Be*,207.4041193,-42.47373044,314.237704,19.11723452,B2Vnpe              ,119.3233533
* chi Oph      ,Be*,246.7559791,-18.45624827,357.932803,20.67660599,B2Vne               ,122.3306013
HD 124367      ,Be*,213.7380851,-57.08612725,314.1250814,3.959558594,B4Vne               ,127
HD 192685      ,Be*,303.8162309,25.59195969,65.18762421,-5.170544118,B3V                 ,127.3246183
HD 53367       ,Ae*,106.1063837,-10.45437235,223.7091582,-1.90075057,B0IV/Ve             ,129.9638469
HD 11415       ,Be*,28.59885907,63.67010339,129.8450864,1.646573413,B3Vp_sh             ,141
HD 142184      ,Be*,238.4827668,-23.97809783,347.932467,22.5451916,B2V                 ,141
* 66 Oph       ,Be*,270.065826,4.368615635,30.99477389,13.37011038,B2Ve                ,143.982329
HD 124771      ,Be*,215.5965195,-80.10894591,306.9337859,-17.9513015,B3V                 ,144
HD 83953       ,Be*,145.3208638,-23.59151484,256.2852202,21.59961721,B5V                 ,152.3301553
HD 205637      ,Be*,324.2701278,-19.46601288,31.94221722,-44.99051381,B3V                 ,154.2702445
HD 169033      ,Be*,275.8006774,-12.01475486,19.04018877,0.690645637,B5V                 ,168.6664651
* c Per        ,Be*,62.16538399,47.71251193,153.6542498,-3.045105355,B3Ve                ,169.3276757
* psi Per      ,Be*,54.12241593,48.19263304,149.1728545,-6.089726353,B5Ve                ,171.3390614
* 16 Peg       ,Be*,328.2657011,25.92513615,80.10070229,-21.75448033,B3Ve                ,172
HD 75311       ,Be*,131.6772887,-56.76977561,273.8957112,-8.414110058,B3V(n)              ,174.66464
HD 102776      ,Be*,177.4210727,-63.78845274,296.1764842,-1.729610181,B3V                 ,184.9776489
* ups Cyg      ,Be*,319.4795292,34.89688055,80.97668733,-10.05260989,B2Vne               ,188.2908095
